index,word
227,memuaskan
228,puas
228,pake
228,maxim
228,malem
228,butuh
228,ojek
228,susah
228,login
228,bertele
228,maxim
228,lgsg
228,pesan
228,driver
228,lgsg
228,dpet
228,tunggu
228,lama
228,driver
228,good
228,mantau
228,posisi
228,driver
228,keren
228,ngerasa
228,aman
228,mesenin
228,terdekat
228,ojol
228,maxim
229,puas
229,pake
229,maxim
229,malem
229,butuh
229,ojek
229,susah
229,login
229,bertele
229,maxim
229,lgsg
229,pesan
229,driver
229,lgsg
229,dpet
229,tunggu
229,lama
229,driver
229,good
229,mantau
229,posisi
229,driver
229,keren
229,ngerasa
229,aman
229,mesenin
229,terdekat
229,ojol
229,maxim
230,puas
230,pake
230,maxim
230,malem
230,butuh
230,ojek
230,susah
230,login
230,bertele
230,maxim
230,lgsg
230,pesan
230,driver
230,lgsg
230,dpet
230,tunggu
230,lama
230,driver
230,good
230,mantau
230,posisi
230,driver
230,keren
230,ngerasa
230,aman
230,mesenin
230,terdekat
230,ojol
230,maxim
231,puas
231,pake
231,maxim
231,malem
231,butuh
231,ojek
231,susah
231,login
231,bertele
231,maxim
231,lgsg
231,pesan
231,driver
231,lgsg
231,dpet
231,tunggu
231,lama
231,driver
231,good
231,mantau
231,posisi
231,driver
231,keren
231,ngerasa
231,aman
231,mesenin
231,terdekat
231,ojol
231,maxim
232,rama
232,driver
233,trimakasih
233,puas
234,mantapharga
234,murah
234,terjangkau
234,kualitas
234,driver
234,bagus
234,pertahankan
234,maxim
235,mantapharga
235,murah
235,terjangkau
235,kualitas
235,driver
235,bagus
235,pertahankan
235,maxim
236,mantapharga
236,murah
236,terjangkau
236,kualitas
236,driver
236,bagus
236,pertahankan
236,maxim
237,supir
237,mantap
238,mantap
238,bener
238,respon
238,cepat
238,pengemudi
238,ramah
238,nyaman
238,berkendara
238,murah
238,tarif
239,mantap
239,bener
239,respon
239,cepat
239,pengemudi
239,ramah
239,nyaman
239,berkendara
239,murah
239,tarif
240,mantap
240,bener
240,respon
240,cepat
240,pengemudi
240,ramah
240,nyaman
240,berkendara
240,murah
240,tarif
241,mantap
241,bener
241,respon
241,cepat
241,pengemudi
241,ramah
241,nyaman
241,berkendara
241,murah
241,tarif
242,driverny
242,ganteng
243,driverny
243,ganteng
244,bismillah
244,maxim
244,bagus
244,cuman
244,aplikasi
244,membingungkan
244,mohon
244,maaf
244,banget
244,driver
244,karna
244,pake
244,aplikasi
244,pesen
244,tapi
244,nggak
244,driver
244,sampai
244,berganti
244,lempar
244,driver
244,cancel
244,konfirmasi
244,semoga
244,dimaafkan
244,ridho
244,mimin
244,riwayat
244,batal
244,biar
244,permohonan
244,maaf
245,bismillah
245,maxim
245,bagus
245,cuman
245,aplikasi
245,membingungkan
245,mohon
245,maaf
245,banget
245,driver
245,karna
245,pake
245,aplikasi
245,pesen
245,tapi
245,nggak
245,driver
245,sampai
245,berganti
245,lempar
245,driver
245,cancel
245,konfirmasi
245,semoga
245,dimaafkan
245,ridho
245,mimin
245,riwayat
245,batal
245,biar
245,permohonan
245,maaf
246,bismillah
246,maxim
246,bagus
246,cuman
246,aplikasi
246,membingungkan
246,mohon
246,maaf
246,banget
246,driver
246,karna
246,pake
246,aplikasi
246,pesen
246,tapi
246,nggak
246,driver
246,sampai
246,berganti
246,lempar
246,driver
246,cancel
246,konfirmasi
246,semoga
246,dimaafkan
246,ridho
246,mimin
246,riwayat
246,batal
246,biar
246,permohonan
246,maaf
247,bagus
247,sopan
247,sangat
247,puas
248,bagus
248,aplikasi
249,udah
249,kaspro
249,masuk
249,kaspro
249,nyasumpah
249,kesel
249,bgtkalau
249,becus
249,ewallet
249,buatsama
249,nipu
249,gituaplikasi
250,udah
250,kaspro
250,masuk
250,kaspro
250,nyasumpah
250,kesel
250,bgtkalau
250,becus
250,ewallet
250,buatsama
250,nipu
250,gituaplikasi
251,gercep
252,order
252,dipenuhi
252,oleh
252,yusron
252,motorcycle
252,warna
252,hijau
252,nopol
252,buxr
252,terima
252,kasih
252,perjalanan
252,anda
252,rating
253,dapet
253,layanan
254,driver
254,gercep
255,ramah
255,sopan
256,driver
256,bnyk
256,judes
257,terimakasih
257,pelayanan
257,sangat
257,cepat
258,terimakasih
258,pelayanan
258,sangat
258,cepat
259,aman
259,nyaman
259,murah
259,mudah
260,sabar
260,nyari
260,alamat
261,orang
261,profesional
262,order
262,dipenuhi
262,oleh
262,ardianto
262,ardianto
262,motorcycle
262,warna
262,merah
262,nopol
262,bmabv
262,terima
262,kasih
262,perjalanan
262,anda
262,rating
263,oknum
263,driver
263,pengertian
263,penyedia
263,jasa
263,utamakan
263,kenyamanan
263,pelanggan
263,membawa
263,kendaraan
263,tidak
263,ugal
263,ugalan
263,ramah
263,kondisi
263,mental
263,tidak
263,baik
263,istirahat
263,saingan
263,jasa
263,transportasi
264,oknum
264,driver
264,pengertian
264,penyedia
264,jasa
264,utamakan
264,kenyamanan
264,pelanggan
264,membawa
264,kendaraan
264,tidak
264,ugal
264,ugalan
264,ramah
264,kondisi
264,mental
264,tidak
264,baik
264,istirahat
264,saingan
264,jasa
264,transportasi
265,ojol
265,amanah
265,delivery
265,belanjaan
265,ilang
265,utuh
265,pinter
265,struk
265,blnjaan
265,ambil
265,dong
265,sungguh
265,kcewa
265,nick
265,name
265,yulianto
265,prastyo
265,pdhal
265,tarif
265,kasih
265,fikir
265,amanahhlbih
265,bilang
265,mbutuhkn
265,ngambil
265,tnpa
265,spngthuan
265,sungguh
265,kcewa
265,plat
265,daem
266,ojol
266,amanah
266,delivery
266,belanjaan
266,ilang
266,utuh
266,pinter
266,struk
